number_people,date,timestamp,day_of_week,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester,month,hour
37,2015-08-14 17:00:11-07:00,61211,4,0,0,71.76,0,0,8,17
45,2015-08-14 17:20:14-07:00,62414,4,0,0,71.76,0,0,8,17
40,2015-08-14 17:30:15-07:00,63015,4,0,0,71.76,0,0,8,17
44,2015-08-14 17:40:16-07:00,63616,4,0,0,71.76,0,0,8,17
45,2015-08-14 17:50:17-07:00,64217,4,0,0,71.76,0,0,8,17
46,2015-08-14 18:00:18-07:00,64818,4,0,0,72.15,0,0,8,18
43,2015-08-14 18:20:08-07:00,66008,4,0,0,72.15,0,0,8,18
53,2015-08-14 18:30:09-07:00,66609,4,0,0,72.15,0,0,8,18
54,2015-08-14 18:40:14-07:00,67214,4,0,0,72.15,0,0,8,18
43,2015-08-14 18:50:15-07:00,67815,4,0,0,72.15,0,0,8,18
39,2015-08-14 19:00:16-07:00,68416,4,0,0,69.97,0,0,8,19
38,2015-08-14 19:20:07-07:00,69607,4,0,0,69.97,0,0,8,19
45,2015-08-14 19:30:08-07:00,70208,4,0,0,69.97,0,0,8,19
41,2015-08-14 19:40:14-07:00,70814,4,0,0,69.97,0,0,8,19
36,2015-08-14 19:50:16-07:00,71416,4,0,0,69.97,0,0,8,19
42,2015-08-14 20:00:17-07:00,72017,4,0,0,68.8,0,0,8,20
35,2015-08-14 20:21:14-07:00,73274,4,0,0,68.8,0,0,8,20
36,2015-08-14 20:31:14-07:00,73874,4,0,0,68.8,0,0,8,20
48,2015-08-14 20:41:15-07:00,74475,4,0,0,68.8,0,0,8,20
40,2015-08-14 20:51:17-07:00,75077,4,0,0,68.8,0,0,8,20
49,2015-08-14 21:01:18-07:00,75678,4,0,0,68.04,0,0,8,21
37,2015-08-14 21:20:06-07:00,76806,4,0,0,68.04,0,0,8,21
48,2015-08-14 21:30:07-07:00,77407,4,0,0,68.04,0,0,8,21
45,2015-08-14 21:40:08-07:00,78008,4,0,0,68.04,0,0,8,21
45,2015-08-14 21:50:09-07:00,78609,4,0,0,68.04,0,0,8,21
38,2015-08-14 22:00:10-07:00,79210,4,0,0,67.55,0,0,8,22
41,2015-08-14 22:20:07-07:00,80407,4,0,0,67.55,0,0,8,22
41,2015-08-14 22:30:08-07:00,81008,4,0,0,67.55,0,0,8,22
37,2015-08-14 22:40:09-07:00,81609,4,0,0,67.55,0,0,8,22
33,2015-08-14 22:50:11-07:00,82211,4,0,0,67.55,0,0,8,22
22,2015-08-14 23:00:11-07:00,82811,4,0,0,67,0,0,8,23
2,2015-08-14 23:20:06-07:00,84006,4,0,0,67,0,0,8,23
1,2015-08-14 23:30:07-07:00,84607,4,0,0,67,0,0,8,23
0,2015-08-14 23:40:08-07:00,85208,4,0,0,67,0,0,8,23
0,2015-08-14 23:50:09-07:00,85809,4,0,0,67,0,0,8,23
0,2015-08-15 00:00:10-07:00,10,5,1,0,66.76,0,0,8,0
1,2015-08-15 00:20:08-07:00,1208,5,1,0,66.76,0,0,8,0
0,2015-08-15 00:30:09-07:00,1809,5,1,0,66.76,0,0,8,0
0,2015-08-15 00:40:10-07:00,2410,5,1,0,66.76,0,0,8,0
0,2015-08-15 00:50:13-07:00,3013,5,1,0,66.76,0,0,8,0
0,2015-08-15 01:00:16-07:00,3616,5,1,0,66.32,0,0,8,1
0,2015-08-15 05:20:11-07:00,19211,5,1,0,65.07,0,0,8,5
1,2015-08-15 05:30:12-07:00,19812,5,1,0,65.07,0,0,8,5
0,2015-08-15 05:40:13-07:00,20413,5,1,0,65.07,0,0,8,5
1,2015-08-15 05:50:15-07:00,21015,5,1,0,65.07,0,0,8,5
1,2015-08-15 06:00:17-07:00,21617,5,1,0,65.32,0,0,8,6
0,2015-08-15 06:20:13-07:00,22813,5,1,0,65.32,0,0,8,6
0,2015-08-15 06:30:15-07:00,23415,5,1,0,65.32,0,0,8,6
0,2015-08-15 06:40:15-07:00,24015,5,1,0,65.32,0,0,8,6
0,2015-08-15 06:50:20-07:00,24620,5,1,0,65.32,0,0,8,6
0,2015-08-15 07:00:22-07:00,25222,5,1,0,66.8,0,0,8,7
0,2015-08-15 07:20:11-07:00,26411,5,1,0,66.8,0,0,8,7
0,2015-08-15 07:30:12-07:00,27012,5,1,0,66.8,0,0,8,7
3,2015-08-15 07:40:13-07:00,27613,5,1,0,66.8,0,0,8,7
2,2015-08-15 07:50:15-07:00,28215,5,1,0,66.8,0,0,8,7
6,2015-08-15 08:00:16-07:00,28816,5,1,0,67.8,0,0,8,8
15,2015-08-15 08:20:11-07:00,30011,5,1,0,67.8,0,0,8,8
22,2015-08-15 08:30:13-07:00,30613,5,1,0,67.8,0,0,8,8
18,2015-08-15 08:40:14-07:00,31214,5,1,0,67.8,0,0,8,8
21,2015-08-15 08:50:16-07:00,31816,5,1,0,67.8,0,0,8,8
26,2015-08-15 09:00:18-07:00,32418,5,1,0,69.55,0,0,8,9
23,2015-08-15 09:20:11-07:00,33611,5,1,0,69.55,0,0,8,9
23,2015-08-15 09:30:13-07:00,34213,5,1,0,69.55,0,0,8,9
28,2015-08-15 09:40:14-07:00,34814,5,1,0,69.55,0,0,8,9
23,2015-08-15 09:50:16-07:00,35416,5,1,0,69.55,0,0,8,9
22,2015-08-15 10:00:17-07:00,36017,5,1,0,70.36,0,0,8,10
30,2015-08-15 10:20:12-07:00,37212,5,1,0,70.36,0,0,8,10
32,2015-08-15 10:30:12-07:00,37812,5,1,0,70.36,0,0,8,10
36,2015-08-15 10:40:13-07:00,38413,5,1,0,70.36,0,0,8,10
29,2015-08-15 10:50:14-07:00,39014,5,1,0,70.36,0,0,8,10
34,2015-08-15 11:00:17-07:00,39617,5,1,0,72.84,0,0,8,11
36,2015-08-15 11:20:11-07:00,40811,5,1,0,72.84,0,0,8,11
32,2015-08-15 11:30:12-07:00,41412,5,1,0,72.84,0,0,8,11
27,2015-08-15 11:40:13-07:00,42013,5,1,0,72.84,0,0,8,11
26,2015-08-15 11:50:13-07:00,42613,5,1,0,72.84,0,0,8,11
36,2015-08-15 12:00:16-07:00,43216,5,1,0,76.95,0,0,8,12
37,2015-08-15 12:20:11-07:00,44411,5,1,0,76.95,0,0,8,12
38,2015-08-15 12:30:12-07:00,45012,5,1,0,76.95,0,0,8,12
30,2015-08-15 12:40:15-07:00,45615,5,1,0,76.95,0,0,8,12
34,2015-08-15 12:50:17-07:00,46217,5,1,0,76.95,0,0,8,12
26,2015-08-15 13:00:20-07:00,46820,5,1,0,80.16,0,0,8,13
33,2015-08-15 13:20:11-07:00,48011,5,1,0,80.16,0,0,8,13
31,2015-08-15 13:30:16-07:00,48616,5,1,0,80.16,0,0,8,13
26,2015-08-15 13:40:17-07:00,49217,5,1,0,80.16,0,0,8,13
26,2015-08-15 13:50:18-07:00,49818,5,1,0,80.16,0,0,8,13
26,2015-08-15 14:00:19-07:00,50419,5,1,0,79.98,0,0,8,14
23,2015-08-15 14:20:12-07:00,51612,5,1,0,79.98,0,0,8,14
29,2015-08-15 14:30:13-07:00,52213,5,1,0,79.98,0,0,8,14
27,2015-08-15 14:40:16-07:00,52816,5,1,0,79.98,0,0,8,14
29,2015-08-15 14:50:18-07:00,53418,5,1,0,79.98,0,0,8,14
25,2015-08-15 15:00:23-07:00,54023,5,1,0,78.79,0,0,8,15
29,2015-08-15 15:20:11-07:00,55211,5,1,0,78.79,0,0,8,15
35,2015-08-15 15:30:12-07:00,55812,5,1,0,78.79,0,0,8,15
32,2015-08-15 15:40:13-07:00,56413,5,1,0,78.79,0,0,8,15
36,2015-08-15 15:50:14-07:00,57014,5,1,0,78.79,0,0,8,15
31,2015-08-15 16:00:15-07:00,57615,5,1,0,78.51,0,0,8,16
24,2015-08-15 16:20:11-07:00,58811,5,1,0,78.51,0,0,8,16
26,2015-08-15 16:30:12-07:00,59412,5,1,0,78.51,0,0,8,16
28,2015-08-15 16:40:12-07:00,60012,5,1,0,78.51,0,0,8,16
33,2015-08-15 16:50:13-07:00,60613,5,1,0,78.51,0,0,8,16
26,2015-08-15 17:00:15-07:00,61215,5,1,0,77.32,0,0,8,17
31,2015-08-15 17:20:10-07:00,62410,5,1,0,77.32,0,0,8,17
39,2015-08-15 17:30:11-07:00,63011,5,1,0,77.32,0,0,8,17
43,2015-08-15 17:40:12-07:00,63612,5,1,0,77.32,0,0,8,17
40,2015-08-15 17:50:13-07:00,64213,5,1,0,77.32,0,0,8,17
36,2015-08-15 18:00:14-07:00,64814,5,1,0,75.62,0,0,8,18
43,2015-08-15 18:20:11-07:00,66011,5,1,0,75.62,0,0,8,18
38,2015-08-15 18:30:12-07:00,66612,5,1,0,75.62,0,0,8,18
32,2015-08-15 18:40:14-07:00,67214,5,1,0,75.62,0,0,8,18
29,2015-08-15 18:50:15-07:00,67815,5,1,0,75.62,0,0,8,18
31,2015-08-15 19:00:16-07:00,68416,5,1,0,73.61,0,0,8,19
27,2015-08-15 19:20:10-07:00,69610,5,1,0,73.61,0,0,8,19
23,2015-08-15 19:30:11-07:00,70211,5,1,0,73.61,0,0,8,19
29,2015-08-15 19:40:12-07:00,70812,5,1,0,73.61,0,0,8,19
28,2015-08-15 19:50:12-07:00,71412,5,1,0,73.61,0,0,8,19
29,2015-08-15 20:00:13-07:00,72013,5,1,0,71.49,0,0,8,20
29,2015-08-15 20:20:11-07:00,73211,5,1,0,71.49,0,0,8,20
31,2015-08-15 20:30:12-07:00,73812,5,1,0,71.49,0,0,8,20
28,2015-08-15 20:40:12-07:00,74412,5,1,0,71.49,0,0,8,20
33,2015-08-15 20:50:13-07:00,75013,5,1,0,71.49,0,0,8,20
26,2015-08-15 21:00:14-07:00,75614,5,1,0,69.48,0,0,8,21
25,2015-08-15 21:20:10-07:00,76810,5,1,0,69.48,0,0,8,21
29,2015-08-15 21:30:11-07:00,77411,5,1,0,69.48,0,0,8,21
22,2015-08-15 21:40:12-07:00,78012,5,1,0,69.48,0,0,8,21
24,2015-08-15 21:50:13-07:00,78613,5,1,0,69.48,0,0,8,21
26,2015-08-15 22:00:13-07:00,79213,5,1,0,67.75,0,0,8,22
22,2015-08-15 22:20:11-07:00,80411,5,1,0,67.75,0,0,8,22
25,2015-08-15 22:30:11-07:00,81011,5,1,0,67.75,0,0,8,22
26,2015-08-15 22:40:12-07:00,81612,5,1,0,67.75,0,0,8,22
12,2015-08-15 22:50:13-07:00,82213,5,1,0,67.75,0,0,8,22
17,2015-08-15 23:00:14-07:00,82814,5,1,0,66.53,0,0,8,23
4,2015-08-15 23:20:10-07:00,84010,5,1,0,66.53,0,0,8,23
2,2015-08-15 23:30:11-07:00,84611,5,1,0,66.53,0,0,8,23
0,2015-08-15 23:40:12-07:00,85212,5,1,0,66.53,0,0,8,23
0,2015-08-15 23:50:12-07:00,85812,5,1,0,66.53,0,0,8,23
0,2015-08-16 00:00:13-07:00,13,6,1,0,65.77,0,0,8,0
0,2015-08-16 00:20:10-07:00,1210,6,1,0,65.77,0,0,8,0
0,2015-08-16 00:30:11-07:00,1811,6,1,0,65.77,0,0,8,0
0,2015-08-16 00:40:12-07:00,2412,6,1,0,65.77,0,0,8,0
0,2015-08-16 00:50:13-07:00,3013,6,1,0,65.77,0,0,8,0
0,2015-08-16 01:00:13-07:00,3613,6,1,0,65.69,0,0,8,1
0,2015-08-16 05:20:11-07:00,19211,6,1,0,64.72,0,0,8,5
0,2015-08-16 05:30:11-07:00,19811,6,1,0,64.72,0,0,8,5
0,2015-08-16 05:40:12-07:00,20412,6,1,0,64.72,0,0,8,5
0,2015-08-16 05:50:13-07:00,21013,6,1,0,64.72,0,0,8,5
0,2015-08-16 06:00:13-07:00,21613,6,1,0,65.2,0,0,8,6
0,2015-08-16 06:20:11-07:00,22811,6,1,0,65.2,0,0,8,6
0,2015-08-16 06:30:11-07:00,23411,6,1,0,65.2,0,0,8,6
0,2015-08-16 06:40:12-07:00,24012,6,1,0,65.2,0,0,8,6
0,2015-08-16 06:50:13-07:00,24613,6,1,0,65.2,0,0,8,6
1,2015-08-16 07:00:14-07:00,25214,6,1,0,66.91,0,0,8,7
0,2015-08-16 07:20:10-07:00,26410,6,1,0,66.91,0,0,8,7
0,2015-08-16 07:30:11-07:00,27011,6,1,0,66.91,0,0,8,7
2,2015-08-16 07:40:12-07:00,27612,6,1,0,66.91,0,0,8,7
2,2015-08-16 07:50:13-07:00,28213,6,1,0,66.91,0,0,8,7
3,2015-08-16 08:00:13-07:00,28813,6,1,0,69.39,0,0,8,8
12,2015-08-16 08:20:10-07:00,30010,6,1,0,69.39,0,0,8,8
18,2015-08-16 08:30:11-07:00,30611,6,1,0,69.39,0,0,8,8
11,2015-08-16 08:40:12-07:00,31212,6,1,0,69.39,0,0,8,8
16,2015-08-16 08:50:13-07:00,31813,6,1,0,69.39,0,0,8,8
15,2015-08-16 09:00:13-07:00,32413,6,1,0,72.14,0,0,8,9
18,2015-08-16 09:20:11-07:00,33611,6,1,0,72.14,0,0,8,9
17,2015-08-16 09:30:11-07:00,34211,6,1,0,72.14,0,0,8,9
12,2015-08-16 09:40:12-07:00,34812,6,1,0,72.14,0,0,8,9
22,2015-08-16 09:50:13-07:00,35413,6,1,0,72.14,0,0,8,9
23,2015-08-16 10:00:14-07:00,36014,6,1,0,74.51,0,0,8,10
27,2015-08-16 10:20:10-07:00,37210,6,1,0,74.51,0,0,8,10
25,2015-08-16 10:30:11-07:00,37811,6,1,0,74.51,0,0,8,10
20,2015-08-16 10:40:12-07:00,38412,6,1,0,74.51,0,0,8,10
25,2015-08-16 10:50:13-07:00,39013,6,1,0,74.51,0,0,8,10
19,2015-08-16 11:00:13-07:00,39613,6,1,0,77.42,0,0,8,11
18,2015-08-16 11:20:10-07:00,40810,6,1,0,77.42,0,0,8,11
25,2015-08-16 11:30:11-07:00,41411,6,1,0,77.42,0,0,8,11
29,2015-08-16 11:40:12-07:00,42012,6,1,0,77.42,0,0,8,11
24,2015-08-16 11:50:13-07:00,42613,6,1,0,77.42,0,0,8,11
29,2015-08-16 12:00:13-07:00,43213,6,1,0,78.94,0,0,8,12
22,2015-08-16 12:20:10-07:00,44410,6,1,0,78.94,0,0,8,12
20,2015-08-16 12:30:11-07:00,45011,6,1,0,78.94,0,0,8,12
34,2015-08-16 12:40:12-07:00,45612,6,1,0,78.94,0,0,8,12
19,2015-08-16 12:50:12-07:00,46212,6,1,0,78.94,0,0,8,12
16,2015-08-16 13:00:13-07:00,46813,6,1,0,79.2,0,0,8,13
27,2015-08-16 13:20:10-07:00,48010,6,1,0,79.2,0,0,8,13
28,2015-08-16 13:30:11-07:00,48611,6,1,0,79.2,0,0,8,13
24,2015-08-16 13:40:12-07:00,49212,6,1,0,79.2,0,0,8,13
26,2015-08-16 13:50:12-07:00,49812,6,1,0,79.2,0,0,8,13
16,2015-08-16 14:00:13-07:00,50413,6,1,0,81.17,0,0,8,14
20,2015-08-16 14:20:10-07:00,51610,6,1,0,81.17,0,0,8,14
21,2015-08-16 14:30:11-07:00,52211,6,1,0,81.17,0,0,8,14
20,2015-08-16 14:40:12-07:00,52812,6,1,0,81.17,0,0,8,14
22,2015-08-16 14:50:13-07:00,53413,6,1,0,81.17,0,0,8,14
19,2015-08-16 15:00:13-07:00,54013,6,1,0,80.61,0,0,8,15
27,2015-08-16 15:20:10-07:00,55210,6,1,0,80.61,0,0,8,15
31,2015-08-16 15:30:11-07:00,55811,6,1,0,80.61,0,0,8,15
32,2015-08-16 15:40:12-07:00,56412,6,1,0,80.61,0,0,8,15
27,2015-08-16 15:50:12-07:00,57012,6,1,0,80.61,0,0,8,15
27,2015-08-16 16:00:13-07:00,57613,6,1,0,79.85,0,0,8,16
24,2015-08-16 16:20:10-07:00,58810,6,1,0,79.85,0,0,8,16
29,2015-08-16 16:30:11-07:00,59411,6,1,0,79.85,0,0,8,16
25,2015-08-16 16:40:12-07:00,60012,6,1,0,79.85,0,0,8,16
30,2015-08-16 16:50:13-07:00,60613,6,1,0,79.85,0,0,8,16
31,2015-08-16 17:00:13-07:00,61213,6,1,0,78.79,0,0,8,17
40,2015-08-16 17:20:10-07:00,62410,6,1,0,78.79,0,0,8,17
30,2015-08-16 17:30:10-07:00,63010,6,1,0,78.79,0,0,8,17
35,2015-08-16 17:40:11-07:00,63611,6,1,0,78.79,0,0,8,17
34,2015-08-16 17:50:13-07:00,64213,6,1,0,78.79,0,0,8,17
31,2015-08-16 18:00:13-07:00,64813,6,1,0,76.75,0,0,8,18
34,2015-08-16 18:20:09-07:00,66009,6,1,0,76.75,0,0,8,18
36,2015-08-16 18:30:09-07:00,66609,6,1,0,76.75,0,0,8,18
27,2015-08-16 18:40:10-07:00,67210,6,1,0,76.75,0,0,8,18
33,2015-08-16 18:50:11-07:00,67811,6,1,0,76.75,0,0,8,18
38,2015-08-16 19:00:12-07:00,68412,6,1,0,74.36,0,0,8,19
41,2015-08-16 19:20:08-07:00,69608,6,1,0,74.36,0,0,8,19
39,2015-08-16 19:30:09-07:00,70209,6,1,0,74.36,0,0,8,19
39,2015-08-16 19:40:10-07:00,70810,6,1,0,74.36,0,0,8,19
41,2015-08-16 19:50:10-07:00,71410,6,1,0,74.36,0,0,8,19
28,2015-08-16 20:00:11-07:00,72011,6,1,0,71.6,0,0,8,20
38,2015-08-16 20:20:08-07:00,73208,6,1,0,71.6,0,0,8,20
38,2015-08-16 20:30:09-07:00,73809,6,1,0,71.6,0,0,8,20
39,2015-08-16 20:40:10-07:00,74410,6,1,0,71.6,0,0,8,20
25,2015-08-16 20:50:11-07:00,75011,6,1,0,71.6,0,0,8,20
32,2015-08-16 21:00:11-07:00,75611,6,1,0,70.65,0,0,8,21
32,2015-08-16 21:20:08-07:00,76808,6,1,0,70.65,0,0,8,21
26,2015-08-16 21:30:09-07:00,77409,6,1,0,70.65,0,0,8,21
31,2015-08-16 21:40:09-07:00,78009,6,1,0,70.65,0,0,8,21
26,2015-08-16 21:50:10-07:00,78610,6,1,0,70.65,0,0,8,21
38,2015-08-16 22:00:11-07:00,79211,6,1,0,68.85,0,0,8,22
34,2015-08-16 22:20:08-07:00,80408,6,1,0,68.85,0,0,8,22
35,2015-08-16 22:30:09-07:00,81009,6,1,0,68.85,0,0,8,22
24,2015-08-16 22:40:10-07:00,81610,6,1,0,68.85,0,0,8,22
31,2015-08-16 22:50:11-07:00,82211,6,1,0,68.85,0,0,8,22
22,2015-08-16 23:00:11-07:00,82811,6,1,0,67.93,0,0,8,23
21,2015-08-16 23:20:08-07:00,84008,6,1,0,67.93,0,0,8,23
17,2015-08-16 23:30:08-07:00,84608,6,1,0,67.93,0,0,8,23
19,2015-08-16 23:40:10-07:00,85210,6,1,0,67.93,0,0,8,23
22,2015-08-16 23:50:10-07:00,85810,6,1,0,67.93,0,0,8,23
17,2015-08-17 00:00:11-07:00,11,0,0,0,65.76,0,0,8,0
17,2015-08-17 00:20:09-07:00,1209,0,0,0,65.76,0,0,8,0
14,2015-08-17 00:30:09-07:00,1809,0,0,0,65.76,0,0,8,0
9,2015-08-17 00:40:10-07:00,2410,0,0,0,65.76,0,0,8,0
11,2015-08-17 00:50:11-07:00,3011,0,0,0,65.76,0,0,8,0
6,2015-08-17 01:00:11-07:00,3611,0,0,0,64.97,0,0,8,1
3,2015-08-17 05:20:08-07:00,19208,0,0,0,63.73,0,0,8,5
1,2015-08-17 05:30:09-07:00,19809,0,0,0,63.73,0,0,8,5
4,2015-08-17 05:40:10-07:00,20410,0,0,0,63.73,0,0,8,5
0,2015-08-17 05:50:11-07:00,21011,0,0,0,63.73,0,0,8,5
9,2015-08-17 06:00:12-07:00,21612,0,0,0,63.42,0,0,8,6
9,2015-08-17 06:20:08-07:00,22808,0,0,0,63.42,0,0,8,6
